2027-12-30 10:30:00,1000000000000000012,Andrea,Emiliani,A Beautiful Mind,3,D597D663
2027-12-29 10:00:00,1000000000000000010,Filippo,Marinetti,To Have and Have Not,2,99A531CE
2027-12-28 13:00:00,1000000000000000012,Andrea,Emiliani,The Philadelphia Story,6,872D5AC5
2027-12-30 10:30:00,1000000000000000012,Andrea,Emiliani,A Beautiful Mind,2,6BD4A0B6
2027-12-27 10:30:00,1000000000000000009,Anna,Lorenzetti,The Bridge on the River Kwai,3,1F0CDFC1
2027-12-26 19:30:00,1000000000000000013,carmen,ballabello,Good Will Hunting,1,BEA661A4
2027-12-26 16:00:00,1000000000000000013,carmen,ballabello,The Bridge on the River Kwai,2,A8C4994C
2027-12-25 18:00:00,1000000000000000009,Anna,Lorenzetti,Gandhi,5,C731BC57
2027-12-25 14:30:00,1000000000000000009,Anna,Lorenzetti,The Lord of the Rings: The Fellowship of the Ring,1,00DDFDF5
2027-12-25 18:00:00,1000000000000000012,Andrea,Emiliani,Gandhi,1,7AC6376C
2027-07-31 13:00:00,1000000000000000009,Anna,Lorenzetti,Fitzcarraldo,2,28C67F82
2026-08-13 17:30:00,1000000000000000009,Anna,Lorenzetti,The Game,1,9AC4A894
