2136517165035908494,Valentino,Grassi,grassi87,07484db58b7424f03d0082df40f2492f21fc94b00db4f4642c54510bd0cfa82d,1987-02-12,Monza,Proiezionista
6331384696869295129,Daniela,Biraghi,daniela.b,ef9d6041b5e49c5718c540ccd90897161fc8b863988b974c589a52dca4955637,1987-12-06,Padova,Bigliettaio
999173292595940685,Giancarlo,Gianni,giancarlogianni,1310190396957e50d78c89b20aef785edcdba4e49dab5665eaa3825ea6473dee,1975-08-09,Varese,Bigliettaio
320578720464135363,Mario,Rossi,mrossi,33850558e614aa2be174862b7bdba8dff7f7f4062a53445a3e57a9f6fa88499d,1988-12-07,Fiumicino,Bigliettaio
663454221909531117,Milena,Greco,milly,75aa1c09aa241f1579ffbd061903bdf3ff38a3f69bf6947f8d67a489e25c3c56,1981-04-22,Verona,Bigliettaio
1396572894628067166,Simona,Marchesi,simo101,2ba268d48ff871bd58d6f288b300224022667ff4d87e467ecb7a64f15b8e5fd6,1972-08-12,Bologna,Bigliettaio
3214666875253778515,Cristiano,Longoni,christian,d79a94dc8a488b173f41f389496f4d2fa76b52eeb4da96355ee83beb2e3c2186,1990-07-03,Firenze,Bigliettaio
130119156573439306,Michele,Galli,--gallimichele--,95130a2acea2f24c208a40ac8e419b1ccab2f45cfb8c3bd6c87048bfd2907b3b,1969-11-17,Aosta,Proiezionista
8558557070174178645,Anna,Lorenzetti,anna,329ef1588a0d78ba3d55870111cb7bea1d8dfea7ca666e2087367117b6fd062e,1992-03-15,Rieti,Cliente
8822543532828314758,Filippo,Marinetti,fmarino,2420d10f3abfb2e2d5714d8864d534e4dd1c86958a65798b2fade8e2bf83c94a,1995-05-13,Sassari,Cliente
2112087038386437255,Emma,Dolci,emi1406,b72a40af13c5956b13334f4e4ac88390cb25b8dcb0f7b2f3556b9377980e03fd,1991-04-19,Cagliari,Cliente
4049214350470401248,Andrea,Emiliani,Laghetto121,5b86a3419dbefe5ac6f116516aeace96935443b2f274f03989c7ff49efdc6394,1956-07-28,Bolzano,Cliente
